"﻿Für inaktive Angebote und Kampagnen sind einige Angaben nicht verfügbar."
""
"Startdatum";"Enddatum";"Name der Kampagne";"Kampagnen-ID";"Startdatum der Kampagne";"Enddatum der Kampagne";"Status  ";"Artikelnr.";"Titel";"Angebotsformat";"Preis (aktueller oder zuletzt angegebener)";"Verfügbare Stückzahl";"Angebotsstart";"Angebotsende";"Anzeigen-Impressions (über Platzierungen bei eBay)";"Anzeigen-Klicks insgesamt";"Verkauft mit Anzeigen - Gesamtstückzahl";"Organisch verkauft - Stückzahl";"Verkauft - Gesamtstückzahl";"Anzeigen-Konversionsrate (Verkauft mit Anzeigen - Stückzahl/Anzeigen-Klicks)";"Anzeigen-Verteilung (Verkauft mit Anzeigen - Stückzahl/Verkauft - Gesamtstückzahl)";"Gesamtumsatz mit Anzeigen";"Anzeigengebühren (ohne MwSt.)";"Rentabilität der Anzeigenkosten (Umsatz/Anzeigengebühren (ohne MwSt.))";"Durchschn. Kosten pro Verkauf";"Anzeigen-Klicks (über Platzierungen bei eBay)";"Anzeigen-Klicks (über externe Platzierungen)";"Mit Anzeigen verkaufte Stückzahl (über Platzierungen bei eBay)";"Mit Anzeigen verkaufte Stückzahl (über externe Platzierungen)";"Anzeigen-Umsatz (über Platzierungen bei eBay)";"Anzeigen-Umsatz (über externe Platzierungen)";"Anzeigengebühren ohne MwSt. (über Platzierungen bei eBay)";"Anzeigengebühren ohne MwSt. (über externe Platzierungen)";"Anzeigen-Konversionsrate (über Platzierungen bei eBay)";"Anzeigen-Konversionsrate (über externe Platzierungen)";"Organische Klicks";"Organische Impressions"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284579857742";"";"";"";"";"";"";"7042";"7";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"7";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"3";"986"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689906847";"";"";"";"";"";"";"6639";"12";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"12";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"7";"2401"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285675492415";"";"";"";"";"";"";"2963";"32";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"31";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"39";"1193"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674530069";"";"";"";"";"";"";"4737";"6";"1";"0";"1";"16,67%";"100,00%";"19,50 €";"1,56 €";"12,50";"1,56 €";"5";"1";"1";"0";"19,50 €";"0,00 €";"1,56 €";"0,00 €";"20,00%";"0,00%";"7";"1290"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285671430787";"";"";"";"";"";"";"0";"6";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"4";"2";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"6";"19"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284893892282";"";"";"";"";"";"";"5830";"9";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"9";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"8";"2509"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286222511146";"";"";"";"";"";"";"1771";"6";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"6";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"8";"374"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674509395";"";"";"";"";"";"";"10354";"37";"2";"0";"2";"5,41%";"100,00%";"57,98 €";"5,80 €";"10,00";"2,90 €";"37";"0";"2";"0";"57,98 €";"0,00 €";"5,80 €";"0,00 €";"5,41%";"0,00%";"19";"6767"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286182180385";"";"";"";"";"";"";"1065";"4";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"4";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"6";"467"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285674278650";"";"";"";"";"";"";"79041";"248";"14";"0";"14";"5,65%";"100,00%";"410,50 €";"53,43 €";"7,68";"3,82 €";"190";"58";"12";"2";"357,50 €";"53,00 €";"46,53 €";"6,90 €";"6,32%";"3,45%";"87";"12990"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285392525726";"";"";"";"";"";"";"31854";"108";"3";"1";"4";"2,78%";"75,00%";"69,50 €";"9,94 €";"6,99";"3,31 €";"108";"0";"3";"0";"69,50 €";"0,00 €";"9,94 €";"0,00 €";"2,78%";"0,00%";"39";"4278"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285685452325";"";"";"";"";"";"";"47727";"93";"3";"1";"4";"3,23%";"75,00%";"119,70 €";"7,17 €";"16,69";"2,39 €";"90";"3";"3";"0";"119,70 €";"0,00 €";"7,17 €";"0,00 €";"3,33%";"0,00%";"73";"8043"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285275322083";"";"";"";"";"";"";"101875";"256";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"247";"9";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"215";"32453"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284371401723";"";"";"";"";"";"";"103482";"106";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"106";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"41";"6116"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285895752828";"";"";"";"";"";"";"23314";"42";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"31";"11";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"34";"5289"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284790322879";"";"";"";"";"";"";"25552";"86";"11";"0";"11";"12,79%";"100,00%";"169,29 €";"16,94 €";"9,99";"1,54 €";"85";"1";"11";"0";"169,29 €";"0,00 €";"16,94 €";"0,00 €";"12,94%";"0,00%";"35";"9938"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286276112460";"";"";"";"";"";"";"5233";"6";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"6";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"9";"1148"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285819220412";"";"";"";"";"";"";"182708";"266";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"265";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"131";"23520"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284897467630";"";"";"";"";"";"";"5159";"3";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"3";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"5";"840"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284577497793";"";"";"";"";"";"";"6233";"12";"0";"2";"2";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"12";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"9";"2155"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284943411636";"";"";"";"";"";"";"31793";"23";"0";"3";"3";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"23";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"39";"14135"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286239434596";"";"";"";"";"";"";"5468";"43";"1";"1";"2";"2,33%";"50,00%";"58,50 €";"6,44 €";"9,08";"6,44 €";"43";"0";"1";"0";"58,50 €";"0,00 €";"6,44 €";"0,00 €";"2,33%";"0,00%";"33";"1736"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286217981876";"";"";"";"";"";"";"3947";"4";"3";"1";"4";"75,00%";"75,00%";"8,97 €";"0,96 €";"9,34";"0,32 €";"4";"0";"3";"0";"8,97 €";"0,00 €";"0,96 €";"0,00 €";"75,00%";"0,00%";"33";"1103"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284942546655";"";"";"";"";"";"";"154877";"225";"19";"0";"19";"8,44%";"100,00%";"156,50 €";"19,56 €";"8,00";"1,03 €";"225";"0";"19";"0";"156,50 €";"0,00 €";"19,56 €";"0,00 €";"8,44%";"0,00%";"60";"27134"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285175158648";"";"";"";"";"";"";"222109";"557";"12";"3";"15";"2,15%";"80,00%";"114,97 €";"4,61 €";"24,94";"0,38 €";"201";"356";"9";"3";"76,04 €";"38,93 €";"3,05 €";"1,56 €";"4,48%";"0,84%";"348";"81952"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284794279732";"";"";"";"";"";"";"22963";"89";"9";"5";"14";"10,11%";"64,29%";"76,50 €";"7,74 €";"9,88";"0,86 €";"67";"22";"7";"2";"59,50 €";"17,00 €";"6,02 €";"1,72 €";"10,45%";"9,09%";"53";"13885"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285353180266";"";"";"";"";"";"";"8350";"21";"1";"0";"1";"4,76%";"100,00%";"35,19 €";"4,93 €";"7,14";"4,93 €";"19";"2";"1";"0";"35,19 €";"0,00 €";"4,93 €";"0,00 €";"5,26%";"0,00%";"24";"2253"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285953204930";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"5";"8"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285897384701";"";"";"";"";"";"";"11841";"28";"1";"0";"1";"3,57%";"100,00%";"59,90 €";"4,79 €";"12,51";"4,79 €";"18";"10";"0";"1";"0,00 €";"59,90 €";"0,00 €";"4,79 €";"0,00%";"10,00%";"23";"2913"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284922341484";"";"";"";"";"";"";"1860";"3";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"3";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"2";"827"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674519713";"";"";"";"";"";"";"983";"5";"1";"0";"1";"20,00%";"100,00%";"48,90 €";"3,91 €";"12,51";"3,91 €";"2";"3";"0";"1";"0,00 €";"48,90 €";"0,00 €";"3,91 €";"0,00%";"33,33%";"1";"539"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285896403214";"";"";"";"";"";"";"9095";"44";"0";"4";"4";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"36";"8";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"62";"4099"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285829616413";"";"";"";"";"";"";"57278";"123";"0";"2";"2";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"111";"12";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"84";"13313"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284579862937";"";"";"";"";"";"";"4696";"10";"3";"3";"6";"30,00%";"50,00%";"28,97 €";"2,90 €";"9,99";"0,97 €";"8";"2";"2";"1";"18,98 €";"9,99 €";"1,90 €";"1,00 €";"25,00%";"50,00%";"26";"2834"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284496158218";"";"";"";"";"";"";"22398";"36";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"35";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"11";"1805"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284942946923";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"15";"55"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285360622039";"";"";"";"";"";"";"35701";"36";"1";"0";"1";"2,78%";"100,00%";"25,00 €";"1,25 €";"20,00";"1,25 €";"33";"3";"1";"0";"25,00 €";"0,00 €";"1,25 €";"0,00 €";"3,03%";"0,00%";"56";"17309"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286288601073";"";"";"";"";"";"";"256";"1";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"1";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";"82"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285919666843";"";"";"";"";"";"";"7097";"24";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"18";"6";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"4";"2079"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284922335801";"";"";"";"";"";"";"31388";"49";"3";"1";"4";"6,12%";"75,00%";"59,97 €";"6,30 €";"9,52";"2,10 €";"47";"2";"3";"0";"59,97 €";"0,00 €";"6,30 €";"0,00 €";"6,38%";"0,00%";"27";"6453"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286088476233";"";"";"";"";"";"";"0";"0";"0";"4";"4";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"0";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"";""
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285392559746";"";"";"";"";"";"";"140306";"447";"2";"0";"2";"0,45%";"100,00%";"34,00 €";"5,54 €";"6,14";"2,77 €";"434";"13";"2";"0";"34,00 €";"0,00 €";"5,54 €";"0,00 €";"0,46%";"0,00%";"108";"66618"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285951041567";"";"";"";"";"";"";"58429";"287";"2";"4";"6";"0,70%";"33,33%";"719,98 €";"64,80 €";"11,11";"32,40 €";"283";"4";"2";"0";"719,98 €";"0,00 €";"64,80 €";"0,00 €";"0,71%";"0,00%";"123";"12470"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285768694429";"";"";"";"";"";"";"285376";"599";"135";"28";"163";"22,54%";"82,82%";"1.263,85 €";"139,10 €";"9,09";"1,03 €";"593";"6";"134";"1";"1.253,86 €";"9,99 €";"138,00 €";"1,10 €";"22,60%";"16,67%";"400";"77200"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285392576731";"";"";"";"";"";"";"920";"3";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"3";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"10";"827"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285392525726";"";"";"";"";"";"";"0";"0";"0";"";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";""
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285001466615";"";"";"";"";"";"";"15943";"13";"1";"2";"3";"7,69%";"33,33%";"10,45 €";"0,73 €";"14,32";"0,73 €";"13";"0";"1";"0";"10,45 €";"0,00 €";"0,73 €";"0,00 €";"7,69%";"0,00%";"12";"7170"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285425450110";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";"1"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286012325225";"";"";"";"";"";"";"19556";"57";"0";"1";"1";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"57";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"85";"7349"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285409286669";"";"";"";"";"";"";"4207";"23";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"14";"9";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"36";"676"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286264007460";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";"6"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284577497914";"";"";"";"";"";"";"10117";"7";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"7";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"13";"3197"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286276111590";"";"";"";"";"";"";"2463";"4";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"4";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"4";"466"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285266175640";"";"";"";"";"";"";"160502";"143";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"139";"4";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"132";"14613"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286088624097";"";"";"";"";"";"";"47141";"222";"15";"0";"15";"6,76%";"100,00%";"385,25 €";"45,53 €";"8,46";"3,04 €";"221";"1";"15";"0";"385,25 €";"0,00 €";"45,53 €";"0,00 €";"6,79%";"0,00%";"165";"28708"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285671401932";"";"";"";"";"";"";"70523";"363";"28";"2";"30";"7,71%";"93,33%";"537,22 €";"63,57 €";"8,45";"2,27 €";"244";"119";"22";"6";"426,28 €";"110,94 €";"50,25 €";"13,32 €";"9,02%";"5,04%";"180";"20259"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284800767572";"";"";"";"";"";"";"5323";"11";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"10";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"96";"2481"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286288598246";"";"";"";"";"";"";"602";"3";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"3";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"8";"266"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285895738483";"";"";"";"";"";"";"24563";"134";"17";"6";"23";"12,69%";"73,91%";"349,20 €";"24,40 €";"14,31";"1,44 €";"96";"38";"11";"6";"229,80 €";"119,40 €";"16,06 €";"8,34 €";"11,46%";"15,79%";"91";"11215"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286228648770";"";"";"";"";"";"";"11610";"3";"0";"1";"1";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"3";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"85";"1315"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285897394909";"";"";"";"";"";"";"18353";"41";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"32";"9";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"28";"5505"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284947790125";"";"";"";"";"";"";"18664";"46";"6";"4";"10";"13,04%";"60,00%";"50,26 €";"3,50 €";"14,36";"0,58 €";"41";"5";"6";"0";"50,26 €";"0,00 €";"3,50 €";"0,00 €";"14,63%";"0,00%";"20";"6962"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284579838732";"";"";"";"";"";"";"15063";"27";"2";"1";"3";"7,41%";"66,67%";"13,98 €";"1,26 €";"11,10";"0,63 €";"24";"3";"2";"0";"13,98 €";"0,00 €";"1,26 €";"0,00 €";"8,33%";"0,00%";"7";"5386"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285192901905";"";"";"";"";"";"";"1106682";"1079";"5";"2";"7";"0,46%";"71,43%";"304,36 €";"24,35 €";"12,50";"4,87 €";"957";"122";"5";"0";"304,36 €";"0,00 €";"24,35 €";"0,00 €";"0,52%";"0,00%";"388";"169935"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284943407963";"";"";"";"";"";"";"5753";"4";"1";"0";"1";"25,00%";"100,00%";"71,99 €";"8,64 €";"8,33";"8,64 €";"4";"0";"1";"0";"71,99 €";"0,00 €";"8,64 €";"0,00 €";"25,00%";"0,00%";"7";"1806"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285671397095";"";"";"";"";"";"";"8139";"24";"1";"1";"2";"4,17%";"50,00%";"14,89 €";"1,49 €";"9,99";"1,49 €";"24";"0";"1";"0";"14,89 €";"0,00 €";"1,49 €";"0,00 €";"4,17%";"0,00%";"31";"2635"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286269709052";"";"";"";"";"";"";"4663";"11";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"10";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"32";"673"
